crop_name,year_start,india_cost_unweighted,india_cost_wavg_sample
Mothbeans,2011,19398.71767,19398.71767
Mothbeans,2012,21972.354198999998,21972.354198999998
Mothbeans,2013,23754.961574000004,23754.961574000004
Mothbeans,2014,26103.939105000005,26103.939105000005
Mothbeans,2015,29217.093658000005,29217.09365800001
Mothbeans,2016,30778.498655000003,30778.498655000003
Mothbeans,2017,30300.017702,30300.017702000005
Mothbeans,2018,30615.303271000004,30615.303271
Mothbeans,2019,33940.920043,33940.92004299999
Mothbeans,2020,36398.599672,36398.599672
Mothbeans,2021,39556.13941,39556.139409999996
Mothbeans,2022,42369.110057,42369.110057
Mothbeans,2023,46400.0,46400.0
Mothbeans,2024,49475.346987000004,49475.346987
Mothbeans,2025,51537.607525,51537.607525
Muskmelon,2010,18601.383171999998,18601.383171999998
Muskmelon,2011,19732.801146,19732.801145999998
Muskmelon,2012,20970.991168,20970.991168
Muskmelon,2013,22957.346527000005,22957.346527000005
Muskmelon,2014,24798.863604999995,24798.863605
Muskmelon,2015,27644.324932,27644.324932
Muskmelon,2016,29080.071819999997,29080.071819999997
Muskmelon,2017,29928.717099,29928.717099000005
Muskmelon,2018,31621.790659,31621.790659
Muskmelon,2019,34406.725144,34406.72514399999
Muskmelon,2020,37755.46411300001,37755.464113
Muskmelon,2021,41088.730319,41088.73031900001
Muskmelon,2022,44209.155558,44209.155558
Muskmelon,2023,47584.89007200002,47584.890072
Muskmelon,2024,52900.27976799999,52900.27976799999
Muskmelon,2025,56000.0,56000.0
Nigerseed,1996,3576.76,3576.76
Nigerseed,1997,3712.17,3712.17
Nigerseed,1998,4497.7,4497.7
Nigerseed,1999,5246.67,5246.67
Nigerseed,2000,5558.81,5558.81
Nigerseed,2001,4751.43,4751.43
Nigerseed,2002,5253.19,5253.19
Nigerseed,2003,5646.395,5718.332857142857
Nigerseed,2004,5620.15,5620.15
Nigerseed,2005,5142.43,4952.993636363636
Nigerseed,2006,5257.49,5257.49
Nigerseed,2007,5587.625,5471.98
Nigerseed,2008,8191.07,8191.07
Nigerseed,2009,9304.92,9304.92
Nigerseed,2010,10198.28,10198.28
Nigerseed,2011,13951.74,13951.74
Nigerseed,2012,16731.36,16731.36
Nigerseed,2013,16762.19,16762.19
Nigerseed,2014,17000.96,16349.5
Nigerseed,2015,22676.14,20914.739999999998
Nigerseed,2016,21199.565000000002,21106.876923076925
Nigerseed,2017,22662.69,22662.69
Nigerseed,2018,18745.25,18745.25
Nigerseed,2019,20283.33,20283.33
Nigerseed,2020,24649.39,24649.39
Nigerseed,2021,27311.46,27311.46
Onion,1996,20377.96,20377.96
Onion,1997,21992.42,21992.42
Onion,1998,26410.57,26410.57
Onion,1999,24554.83,27640.672666666665
Onion,2000,27190.855,34045.924047619046
Onion,2001,30315.64,33916.612857142856
Onion,2002,24846.66,26764.350188679247
Onion,2003,33537.78,40614.439354838716
Onion,2004,30286.965,34838.10666666667
Onion,2005,40937.166666666664,46800.06537499999
Onion,2006,44281.67333333334,47613.58044117647
Onion,2007,46236.95333333333,49058.235157894735
Onion,2008,56409.725000000006,59309.6645
Onion,2009,54123.675,56434.826232876716
Onion,2010,67074.0625,71036.96503267974
Onion,2011,70361.985,79665.28187500002
Onion,2012,85303.765,103773.37175438597
Onion,2013,97977.42000000001,114111.12910344829
Onion,2014,117239.63,124685.19531468532
Onion,2015,116818.38,132212.9558293839
Onion,2016,101490.33333333333,115115.84074074074
Onion,2017,132536.38333333333,142336.39517241382
Onion,2018,110642.55666666664,114799.89025380713
Onion,2019,147013.37333333332,164742.0221686747
Onion,2020,165920.14428571425,184257.86108597284
Onion,2021,168319.43142857144,187381.46142307692
Orange,2010,20673.560398999998,20673.560399
Orange,2011,22140.120935,22140.120935
Orange,2012,24200.833065000003,24200.833065
Orange,2013,26124.973977999995,26124.973977999998
Orange,2014,28502.232049000002,28502.232049
